"id","year","state_abbr","offense_code","offense_name","agencies","population","total_male","total_female","m_0_9","m_10_12","m_13_14","m_15","m_16","m_17","f_0_9","f_10_12","f_13_14","f_15","f_16","f_17","race_agencies","race_population","white","black","asian_pacific_islander","american_indian"
1081,2016,,"ASR_ARSON","Arson",13310,264534532,1760,328,117,368,548,291,239,197,12,54,114,66,39,43,12581,263887632,1436,516,41,48
1082,2016,,"ASR_AST","Aggravated Assault",13310,264534532,16997,5918,141,1406,3743,3062,3839,4806,19,465,1565,1171,1337,1361,12581,263887632,12370,9736,296,364
1083,2016,,"ASR_AST_SMP","Simple Assault",13310,264534532,66360,38712,1043,7406,16966,12403,14134,14408,259,3353,11210,8036,8264,7590,12581,263887632,59778,41923,1130,1378
1084,2016,,"ASR_BRG","Burglary",13310,264534532,23307,3071,167,1474,5301,4789,5662,5914,34,170,727,618,689,833,12581,263887632,14413,11082,368,362
1085,2016,,"ASR_CUR","Curfew and Loitering Law Violations",13310,264534532,19218,8319,110,1184,4160,4405,5126,4233,24,449,1991,1887,2267,1701,12581,263887632,15468,11045,382,429
1086,2016,,"ASR_DIS","Disorderly Conduct",13310,264534532,34438,19449,431,3428,9021,6690,7553,7315,80,1682,5883,4114,4049,3641,12581,263887632,28572,23619,416,892
1087,2016,,"ASR_DRG","Drug Abuse Violations",13310,264534532,61781,18503,76,1323,7443,9284,16479,27176,22,447,2977,3084,4709,7264,12581,263887632,59418,17572,1176,1277
1088,2016,,"ASR_DRK","Drunkenness",13310,264534532,2746,1120,14,15,232,333,632,1520,1,20,185,196,292,426,12581,263887632,3173,380,54,206
1089,2016,,"ASR_DUI","Drive Under the Influence",13310,264534532,3913,1345,10,8,49,171,923,2752,3,3,25,64,341,909,12581,263887632,4608,352,91,132
1090,2016,,"ASR_EMB","Embezzlement",13310,264534532,343,207,,6,39,33,90,175,,,5,17,69,116,12581,263887632,320,208,12,7
1091,2016,,"ASR_FAM","Offenses Against the Family and Children",13310,264534532,1749,1126,61,157,401,389,343,398,37,104,328,224,220,213,12581,263887632,1696,678,18,445
1092,2016,,"ASR_FOR","Forgery and Counterfeiting",13310,264534532,735,252,1,5,76,90,179,384,,3,23,20,64,142,12581,263887632,537,423,16,5
1093,2016,,"ASR_FRD","Fraud",13310,264534532,2611,1212,2,83,476,474,673,903,2,44,208,216,319,423,12581,263887632,1897,1807,34,52
1094,2016,,"ASR_GAM","Gambling",13310,264534532,181,26,3,,17,27,57,77,,,4,6,8,8,12581,263887632,52,152,3,
1095,2016,,"ASR_HOM","Murder and Nonnegligent Homicide",13310,264534532,639,66,9,5,45,88,186,306,,,11,6,18,31,12581,263887632,246,425,13,9
1096,2016,,"ASR_LIQ","Liquor Laws",13310,264534532,18045,12005,10,130,1441,2583,4999,8882,1,146,1435,1990,3322,5111,12581,263887632,26035,2001,424,1069
1097,2016,,"ASR_LRC","Larceny",13310,264534532,66057,45464,385,4257,14591,13030,15957,17837,123,2170,8761,8724,11786,13900,12581,263887632,66218,39999,2087,1852
1098,2016,,"ASR_MAN","Manslaughter by Negligence",13310,264534532,54,13,,4,7,9,13,21,,,,2,2,9,12581,263887632,47,20,,
1099,2016,,"ASR_MVT","Motor Vehicle Theft",13310,264534532,10433,2370,16,242,1978,2282,3009,2906,,62,585,619,595,509,12581,263887632,5929,6415,138,193
1100,2016,,"ASR_OTH","All Other Offenses",13310,264534532,91740,36166,728,4150,16891,17073,22942,29956,239,1689,7917,7274,8966,10081,12581,263887632,83389,38718,2157,2025
1101,2016,,"ASR_PRS","Prostitution and Commercialized Vice",13310,264534532,112,297,,2,20,13,31,46,1,2,26,42,68,158,12581,263887632,165,231,9,3
1102,2016,,"ASR_ROB","Robbery",13310,264534532,13989,1656,19,342,2260,2834,4019,4515,2,32,291,331,448,552,12581,263887632,4546,10745,212,96
